Jungle Book,Ruskin Bond,Kids Fantasy Fiction
The Fault In Our Stars,John Green,Fiction Romance
The Encyclopedia of Jokes,The Frairs Club,Comedy Info Non-Fiction
Dog-Man,Dave Pilkey,Comedy Kids Fiction Fantasy
Narasimha,Kevin Missal,Fantasy Fiction Mythology
Sapiens,Yuval Nova Harari,Info Non-Fiction Science
Harry Potter and the Philosophers Stone,J K Rowling,Fantasy Fiction Kids
Percy Jackson and the Lightning Theif,Rick Riordan,Fiction Fantasy Kids Mythology
Diary of a Wimpy Kid,Jeff Kinney,Fiction Kids Comedy
